project_id,project_name,description,department,cost,start_date,end_date
UKRI-3014,Agritech Robotics for Smart Farming,"UKRI-funded R&D project focusing on agritech robotics for smart farming, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI STFC (Science and Technology Facilities Council),3026353,2020-05-20,2023-07-11
UKRI-3015,Swarm Robotics for Hazard Response,"UKRI-funded R&D project focusing on swarm robotics for hazard response, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),11769431,2017-07-16,2019-01-25
UKRI-3016,Autonomous Inspection Robotics Platform,"UKRI-funded R&D project focusing on autonomous inspection robotics platform, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI BBSRC (Biotechnology and Biological Sciences Research Council),16903967,2020-12-02,2023-01-12
UKRI-3017,Smart Sensor Fusion Platform,"UKRI-funded R&D project focusing on smart sensor fusion platform, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),14702690,2013-05-30,2015-01-28
UKRI-3018,Advanced Computer Vision for Robotics,"UKRI-funded R&D project focusing on advanced computer vision for robotics, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),18984872,2022-01-07,2023-11-11
UKRI-3019,AI-enhanced Space Robotics Systems,"UKRI-funded R&D project focusing on ai-enhanced space robotics systems, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI NERC (Natural Environment Research Council),12601706,2016-11-05,2018-06-28
UKRI-3020,Swarm Robotics for Hazard Response,"UKRI-funded R&D project focusing on swarm robotics for hazard response, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),15298263,2023-07-08,2026-02-24
UKRI-3021,Smart Sensor Fusion Platform,"UKRI-funded R&D project focusing on smart sensor fusion platform, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),7233326,2022-10-27,2024-10-04
UKRI-3022,Swarm Robotics for Hazard Response,"UKRI-funded R&D project focusing on swarm robotics for hazard response, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI Innovate UK,9226703,2013-08-20,2016-02-02
UKRI-3023,Autonomous Underwater Vehicle Research,"UKRI-funded R&D project focusing on autonomous underwater vehicle research, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI Innovate UK,12831955,2022-04-16,2024-04-11
UKRI-3024,AI-powered Drug Discovery Pipeline,"UKRI-funded R&D project focusing on ai-powered drug discovery pipeline, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI NERC (Natural Environment Research Council),6440660,2015-04-27,2017-04-03
UKRI-3025,AI-driven Materials Discovery Framework,"UKRI-funded R&D project focusing on ai-driven materials discovery framework, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI Innovate UK,19500485,2016-05-16,2018-02-03
UKRI-3026,AI-powered Drug Discovery Pipeline,"UKRI-funded R&D project focusing on ai-powered drug discovery pipeline, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI ESRC (Economic and Social Research Council),10453461,2018-10-27,2019-12-14
UKRI-3027,Next-Gen Manufacturing Robotics Prototype,"UKRI-funded R&D project focusing on next-gen manufacturing robotics prototype, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),12337341,2015-05-07,2017-04-28
UKRI-3028,Autonomous Inspection Robotics Platform,"UKRI-funded R&D project focusing on autonomous inspection robotics platform, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI STFC (Science and Technology Facilities Council),10452465,2024-11-18,2025-12-17
UKRI-3029,Swarm Robotics for Hazard Response,"UKRI-funded R&D project focusing on swarm robotics for hazard response, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),18068467,2022-04-07,2024-08-23
UKRI-3030,Medical Imaging AI for Early Diagnosis,"UKRI-funded R&D project focusing on medical imaging ai for early diagnosis, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI STFC (Science and Technology Facilities Council),14592309,2016-01-23,2017-03-16
UKRI-3031,Swarm Robotics for Hazard Response,"UKRI-funded R&D project focusing on swarm robotics for hazard response, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI STFC (Science and Technology Facilities Council),6756641,2021-12-04,2023-10-13
UKRI-3032,AI-based Cybersecurity Threat Modeling,"UKRI-funded R&D project focusing on ai-based cybersecurity threat modeling, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI STFC (Science and Technology Facilities Council),14983833,2018-05-26,2019-09-17
UKRI-3033,Robotic Manipulation for Warehouse Automation,"UKRI-funded R&D project focusing on robotic manipulation for warehouse automation, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI Innovate UK,8245073,2022-12-23,2026-01-07
UKRI-3034,Advanced Computer Vision for Robotics,"UKRI-funded R&D project focusing on advanced computer vision for robotics, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI STFC (Science and Technology Facilities Council),11976118,2014-12-24,2016-06-20
UKRI-3035,AI-based Cybersecurity Threat Modeling,"UKRI-funded R&D project focusing on ai-based cybersecurity threat modeling, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI Innovate UK,9772207,2020-03-20,2022-11-09
UKRI-3036,Quantum-enabled AI Algorithms,"UKRI-funded R&D project focusing on quantum-enabled ai algorithms, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),8980403,2016-07-11,2018-06-23
UKRI-3037,Next-Gen Manufacturing Robotics Prototype,"UKRI-funded R&D project focusing on next-gen manufacturing robotics prototype, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),1664952,2020-06-14,2022-08-03
UKRI-3038,Human-Robot Collaboration Interface,"UKRI-funded R&D project focusing on human-robot collaboration interface, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),3930417,2017-11-04,2019-07-25
UKRI-3039,High-precision Surgical Robotics,"UKRI-funded R&D project focusing on high-precision surgical robotics, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI STFC (Science and Technology Facilities Council),6883080,2023-09-29,2026-12-28
UKRI-3040,High-precision Surgical Robotics,"UKRI-funded R&D project focusing on high-precision surgical robotics, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI BBSRC (Biotechnology and Biological Sciences Research Council),910783,2015-12-08,2018-08-09
UKRI-3041,Next-Gen Manufacturing Robotics Prototype,"UKRI-funded R&D project focusing on next-gen manufacturing robotics prototype, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),989465,2016-05-09,2017-08-20
UKRI-3042,Swarm Robotics for Hazard Response,"UKRI-funded R&D project focusing on swarm robotics for hazard response, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI NERC (Natural Environment Research Council),16096172,2020-10-25,2023-11-25
UKRI-3043,AI-enhanced Space Robotics Systems,"UKRI-funded R&D project focusing on ai-enhanced space robotics systems, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI NERC (Natural Environment Research Council),11352799,2012-02-15,2014-06-30
UKRI-3044,AI-driven Materials Discovery Framework,"UKRI-funded R&D project focusing on ai-driven materials discovery framework, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI NERC (Natural Environment Research Council),2821825,2024-12-06,2027-08-26
UKRI-3045,Agritech Robotics for Smart Farming,"UKRI-funded R&D project focusing on agritech robotics for smart farming, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),16258225,2019-07-16,2020-10-22
UKRI-3046,AI for Renewable Energy Optimization,"UKRI-funded R&D project focusing on ai for renewable energy optimization, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),16659549,2024-02-23,2025-10-27
UKRI-3047,AI-driven Materials Discovery Framework,"UKRI-funded R&D project focusing on ai-driven materials discovery framework, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI NERC (Natural Environment Research Council),16693728,2019-05-22,2021-01-21
UKRI-3048,AI-powered Drug Discovery Pipeline,"UKRI-funded R&D project focusing on ai-powered drug discovery pipeline, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI NERC (Natural Environment Research Council),9728181,2012-02-19,2015-01-27
UKRI-3049,Deep Learning for Climate Prediction,"UKRI-funded R&D project focusing on deep learning for climate prediction, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI ESRC (Economic and Social Research Council),15680933,2017-06-26,2018-06-28
