project_id,project_name,description,department,cost,start_date,end_date
DOD-4030,Unmanned Aerial Recon System,"DoD RDT&E project focused on unmanned aerial recon system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Space Development Agency (SDA),842318435,2017-08-16,2021-05-29
DOD-4031,Satellite Networking Mesh Prototype,"DoD RDT&E project focused on satellite networking mesh prototype, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Army Research Laboratory (ARL),461946952,2012-09-08,2015-10-09
DOD-4032,Long-Range Precision Munition,"DoD RDT&E project focused on long-range precision munition, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Navy ONR (Office of Naval Research),55691950,2024-08-02,2026-03-20
DOD-4033,Autonomous Maritime Vessel AI,"DoD RDT&E project focused on autonomous maritime vessel ai, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Space Development Agency (SDA),465165598,2016-07-08,2020-06-12
DOD-4034,Precision Navigation Without GPS,"DoD RDT&E project focused on precision navigation without gps, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DIU (Defense Innovation Unit),390675404,2010-03-21,2011-07-03
DOD-4035,Directed Energy Prototype,"DoD RDT&E project focused on directed energy prototype, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Air Force Research Laboratory (AFRL),504490871,2017-07-13,2021-05-30
DOD-4036,Long-Range Precision Munition,"DoD RDT&E project focused on long-range precision munition, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DIU (Defense Innovation Unit),524953395,2013-11-22,2017-06-17
DOD-4037,Robotic Explosive Ordnance Unit,"DoD RDT&E project focused on robotic explosive ordnance unit, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DARPA,259554333,2024-09-22,2027-02-26
DOD-4038,Unmanned Aerial Recon System,"DoD RDT&E project focused on unmanned aerial recon system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Missile Defense Agency (MDA),724996128,2021-08-03,2024-06-07
DOD-4039,Hypersonic Materials Stress Testing,"DoD RDT&E project focused on hypersonic materials stress testing, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DARPA,40498216,2022-09-05,2025-05-17
DOD-4040,Advanced Radar Signal Processing,"DoD RDT&E project focused on advanced radar signal processing, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DIU (Defense Innovation Unit),352165209,2022-06-13,2023-09-23
DOD-4041,Autonomous Target Tracking System,"DoD RDT&E project focused on autonomous target tracking system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Air Force Research Laboratory (AFRL),450947583,2024-12-03,2027-07-08
DOD-4042,Advanced Cyber Defense AI,"DoD RDT&E project focused on advanced cyber defense ai, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Air Force Research Laboratory (AFRL),571255674,2015-12-30,2019-04-27
DOD-4043,Satellite Networking Mesh Prototype,"DoD RDT&E project focused on satellite networking mesh prototype, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Army Research Laboratory (ARL),870226618,2014-03-05,2016-09-05
DOD-4044,AI Pilot for Combat Aircraft,"DoD RDT&E project focused on ai pilot for combat aircraft, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Missile Defense Agency (MDA),254898856,2011-08-05,2014-09-27
DOD-4045,High-Energy Laser Interceptor,"DoD RDT&E project focused on high-energy laser interceptor, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DIU (Defense Innovation Unit),432727766,2024-03-18,2026-07-15
DOD-4046,Unmanned Aerial Recon System,"DoD RDT&E project focused on unmanned aerial recon system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Space Development Agency (SDA),131941278,2013-01-01,2016-03-23
DOD-4047,AI Mission Planning Engine,"DoD RDT&E project focused on ai mission planning engine, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Navy ONR (Office of Naval Research),88535894,2020-03-16,2023-08-19
DOD-4048,Robotic Explosive Ordnance Unit,"DoD RDT&E project focused on robotic explosive ordnance unit, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Air Force Research Laboratory (AFRL),707061769,2023-07-21,2026-04-09
DOD-4049,AI Mission Planning Engine,"DoD RDT&E project focused on ai mission planning engine, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Space Development Agency (SDA),858587213,2019-03-14,2022-09-21
